2018-3-22,1,是,是,2018-3-21,2018-3-21,否,否,否,否
2018-3-23,1,是,是,2018-3-22,2018-3-22,否,否,否,否
2018-3-24,0,否,否,2018-3-23,2018-3-23,是,否,否,否
2018-3-25,0,否,否,2018-3-23,2018-3-23,是,否,否,否
2018-3-26,1,是,是,2018-3-23,2018-3-23,否,否,否,否
2018-3-27,1,是,是,2018-3-26,2018-3-26,否,否,否,否
2018-3-28,1,是,是,2018-3-27,2018-3-27,否,否,否,否
2018-3-29,1,是,是,2018-3-28,2018-3-28,否,否,否,否
2018-3-30,1,是,是,2018-3-29,2018-3-29,否,否,否,否
2018-3-31,0,否,否,2018-3-30,2018-3-30,是,是,是,否
2018-4-1,0,否,否,2018-3-30,2018-3-30,是,否,否,否
2018-4-2,1,是,是,2018-3-30,2018-3-30,否,否,否,否
2018-4-3,1,是,是,2018-4-2,2018-4-2,否,否,否,否
2018-4-4,1,是,是,2018-4-3,2018-4-3,否,否,否,否
2018-4-5,0,否,否,2018-4-4,2018-4-4,否,否,否,否
2018-4-6,0,否,否,2018-4-4,2018-4-4,否,否,否,否
2018-4-7,0,否,否,2018-4-4,2018-4-4,是,否,否,否
2018-4-8,0,否,是,2018-4-4,2018-4-4,是,否,否,否
2018-4-9,1,是,是,2018-4-4,2018-4-8,否,否,否,否
2018-4-10,1,是,是,2018-4-9,2018-4-9,否,否,否,否
2018-4-11,1,是,是,2018-4-10,2018-4-10,否,否,否,否
2018-4-12,1,是,是,2018-4-11,2018-4-11,否,否,否,否
2018-4-13,1,是,是,2018-4-12,2018-4-12,否,否,否,否
2018-4-14,0,否,否,2018-4-13,2018-4-13,是,否,否,否
2018-4-15,0,否,否,2018-4-13,2018-4-13,是,否,否,否
2018-4-16,1,是,是,2018-4-13,2018-4-13,否,否,否,否
2018-4-17,1,是,是,2018-4-16,2018-4-16,否,否,否,否
2018-4-18,1,是,是,2018-4-17,2018-4-17,否,否,否,否
2018-4-19,1,是,是,2018-4-18,2018-4-18,否,否,否,否
2018-4-20,1,是,是,2018-4-19,2018-4-19,否,否,否,否
2018-4-21,0,否,否,2018-4-20,2018-4-20,是,否,否,否
2018-4-22,0,否,否,2018-4-20,2018-4-20,是,否,否,否
2018-4-23,1,是,是,2018-4-20,2018-4-20,否,否,否,否
2018-4-24,1,是,是,2018-4-23,2018-4-23,否,否,否,否
2018-4-25,1,是,是,2018-4-24,2018-4-24,否,否,否,否
2018-4-26,1,是,是,2018-4-25,2018-4-25,否,否,否,否
2018-4-27,1,是,是,2018-4-26,2018-4-26,否,否,否,否
2018-4-28,0,否,是,2018-4-27,2018-4-27,是,否,否,否
2018-4-29,0,否,否,2018-4-27,2018-4-28,是,否,否,否
2018-4-30,0,否,否,2018-4-27,2018-4-28,否,是,否,否
2018-5-1,0,否,否,2018-4-27,2018-4-28,否,否,否,否
2018-5-2,1,是,是,2018-4-27,2018-4-28,否,否,否,否
2018-5-3,1,是,是,2018-5-2,2018-5-2,否,否,否,否
2018-5-4,1,是,是,2018-5-3,2018-5-3,否,否,否,否
2018-5-5,0,否,否,2018-5-4,2018-5-4,是,否,否,否
2018-5-6,0,否,否,2018-5-4,2018-5-4,是,否,否,否
2018-5-7,1,是,是,2018-5-4,2018-5-4,否,否,否,否
2018-5-8,1,是,是,2018-5-7,2018-5-7,否,否,否,否
2018-5-9,1,是,是,2018-5-8,2018-5-8,否,否,否,否
2018-5-10,1,是,是,2018-5-9,2018-5-9,否,否,否,否
2018-5-11,1,是,是,2018-5-10,2018-5-10,否,否,否,否
2018-5-12,0,否,否,2018-5-11,2018-5-11,是,否,否,否
2018-5-13,0,否,否,2018-5-11,2018-5-11,是,否,否,否
2018-5-14,1,是,是,2018-5-11,2018-5-11,否,否,否,否
2018-5-15,1,是,是,2018-5-14,2018-5-14,否,否,否,否
2018-5-16,1,是,是,2018-5-15,2018-5-15,否,否,否,否
2018-5-17,1,是,是,2018-5-16,2018-5-16,否,否,否,否
2018-5-18,1,是,是,2018-5-17,2018-5-17,否,否,否,否
2018-5-19,0,否,否,2018-5-18,2018-5-18,是,否,否,否
2018-5-20,0,否,否,2018-5-18,2018-5-18,是,否,否,否
2018-5-21,1,是,是,2018-5-18,2018-5-18,否,否,否,否
2018-5-22,1,是,是,2018-5-21,2018-5-21,否,否,否,否
2018-5-23,1,是,是,2018-5-22,2018-5-22,否,否,否,否
2018-5-24,1,是,是,2018-5-23,2018-5-23,否,否,否,否
2018-5-25,1,是,是,2018-5-24,2018-5-24,否,否,否,否
2018-5-26,0,否,否,2018-5-25,2018-5-25,是,否,否,否
2018-5-27,0,否,否,2018-5-25,2018-5-25,是,否,否,否
2018-5-28,1,是,是,2018-5-25,2018-5-25,否,否,否,否
2018-5-29,1,是,是,2018-5-28,2018-5-28,否,否,否,否
2018-5-30,1,是,是,2018-5-29,2018-5-29,否,否,否,否
2018-5-31,1,是,是,2018-5-30,2018-5-30,否,是,否,否
2018-6-1,1,是,是,2018-5-31,2018-5-31,否,否,否,否
2018-6-2,0,否,否,2018-6-1,2018-6-1,是,否,否,否
2018-6-3,0,否,否,2018-6-1,2018-6-1,是,否,否,否
2018-6-4,1,是,是,2018-6-1,2018-6-1,否,否,否,否
2018-6-5,1,是,是,2018-6-4,2018-6-4,否,否,否,否
2018-6-6,1,是,是,2018-6-5,2018-6-5,否,否,否,否
2018-6-7,1,是,是,2018-6-6,2018-6-6,否,否,否,否
2018-6-8,1,是,是,2018-6-7,2018-6-7,否,否,否,否
2018-6-9,0,否,否,2018-6-8,2018-6-8,是,否,否,否
2018-6-10,0,否,否,2018-6-8,2018-6-8,是,否,否,否
2018-6-11,1,是,是,2018-6-8,2018-6-8,否,否,否,否
2018-6-12,1,是,是,2018-6-11,2018-6-11,否,否,否,否
2018-6-13,1,是,是,2018-6-12,2018-6-12,否,否,否,否
2018-6-14,1,是,是,2018-6-13,2018-6-13,否,否,否,否
2018-6-15,1,是,是,2018-6-14,2018-6-14,否,否,否,否
2018-6-16,0,否,否,2018-6-15,2018-6-15,是,否,否,否
2018-6-17,0,否,否,2018-6-15,2018-6-15,是,否,否,否
2018-6-18,0,否,否,2018-6-15,2018-6-15,否,否,否,否
